1s m NOM	7.91
1s f NOM	7.89
1s n NOM	7.91
2s m NOM	5.33
2s f NOM	5.3
2s n NOM	5.33
3s m NOM	12.635
3s f NOM	12.59
3s n NOM	12.635
1p m NOM	1.555
1p f NOM	1.55
1p n NOM	1.555
2p m NOM	2.34
2p f NOM	2.32
2p n NOM	2.34
3p m NOM	2.26
3p f NOM	2.25
3p n NOM	2.26
1d m NOM	0.185
1d f NOM	0.19
1d n NOM	0.185
2d m NOM	0.28
2d f NOM	0.28
2d n NOM	0.28
3d m NOM	0.27
3d f NOM	0.27
3d n NOM	0.27
1s m AKK	7.91
1s f AKK	7.89
1s n AKK	7.91
2s m AKK	5.33
2s f AKK	5.3
2s n AKK	5.33
3s m AKK	12.635
3s f AKK	12.59
3s n AKK	12.635
1p m AKK	1.555
1p f AKK	1.55
1p n AKK	1.555
2p m AKK	2.34
2p f AKK	2.32
2p n AKK	2.34
3p m AKK	2.26
3p f AKK	2.25
3p n AKK	2.26
1d m AKK	0.185
1d f AKK	0.19
1d n AKK	0.185
2d m AKK	0.28
2d f AKK	0.28
2d n AKK	0.28
3d m AKK	0.27
3d f AKK	0.27
3d n AKK	0.27
1s m DAT	7.91
1s f DAT	7.89
1s n DAT	7.91
2s m DAT	5.33
2s f DAT	5.3
2s n DAT	5.33
3s m DAT	12.635
3s f DAT	12.59
3s n DAT	12.635
1p m DAT	1.555
1p f DAT	1.55
1p n DAT	1.555
2p m DAT	2.34
2p f DAT	2.32
2p n DAT	2.34
3p m DAT	2.26
3p f DAT	2.25
3p n DAT	2.26
1d m DAT	0.185
1d f DAT	0.19
1d n DAT	0.185
2d m DAT	0.28
2d f DAT	0.28
2d n DAT	0.28
3d m DAT	0.27
3d f DAT	0.27
3d n DAT	0.27
1s m GEN	7.91
1s f GEN	7.89
1s n GEN	7.91
2s m GEN	5.33
2s f GEN	5.3
2s n GEN	5.33
3s m GEN	12.635
3s f GEN	12.59
3s n GEN	12.635
1p m GEN	1.555
1p f GEN	1.55
1p n GEN	1.555
2p m GEN	2.34
2p f GEN	2.32
2p n GEN	2.34
3p m GEN	2.26
3p f GEN	2.25
3p n GEN	2.26
1d m GEN	0.185
1d f GEN	0.19
1d n GEN	0.185
2d m GEN	0.28
2d f GEN	0.28
2d n GEN	0.28
3d m GEN	0.27
3d f GEN	0.27
3d n GEN	0.27
