1s m NOM	7.91
1s f NOM	7.89
1s n NOM	7.91
2vs m NOM	2.665
2hs m NOM	2.665
2vs f NOM	2.65
2hs f NOM	2.65
2vs n NOM	2.665
2hs n NOM	2.665
3s m NOM	12.635
3s f NOM	12.59
3s n NOM	12.635
1p m NOM	1.555
1p f NOM	1.55
1p n NOM	1.555
2vp m NOM	1.17
2hp m NOM	1.17
2vp f NOM	1.16
2hp f NOM	1.16
2vp n NOM	1.17
2hp n NOM	1.17
3p m NOM	2.26
3p f NOM	2.25
3p n NOM	2.26
1d m NOM	0.185
1d f NOM	0.19
1d n NOM	0.185
2vd m NOM	0.14
2vd f NOM	0.14
2vd n NOM	0.14
2hd m NOM	0.14
2hd f NOM	0.14
2hd n NOM	0.14
3d m NOM	0.27
3d f NOM	0.27
3d n NOM	0.27
1s m AKK	7.91
1s f AKK	7.89
1s n AKK	7.91
2vs m AKK	2.665
2hs m AKK	2.665
2vs f AKK	2.65
2hs f AKK	2.65
2vs n AKK	2.665
2hs n AKK	2.665
3s m AKK	12.635
3s f AKK	12.59
3s n AKK	12.635
1p m AKK	1.555
1p f AKK	1.55
1p n AKK	1.555
2vp m AKK	1.17
2hp m AKK	1.17
2vp f AKK	1.16
2hp f AKK	1.16
2vp n AKK	1.17
2hp n AKK	1.17
3p m AKK	2.26
3p f AKK	2.25
3p n AKK	2.26
1d m AKK	0.185
1d f AKK	0.19
1d n AKK	0.185
2vd m AKK	0.14
2vd f AKK	0.14
2vd n AKK	0.14
2hd m AKK	0.14
2hd f AKK	0.14
2hd n AKK	0.14
3d m AKK	0.27
3d f AKK	0.27
3d n AKK	0.27
1s m DAT	7.91
1s f DAT	7.89
1s n DAT	7.91
2vs m DAT	2.665
2hs m DAT	2.665
2vs f DAT	2.65
2hs f DAT	2.65
2vs n DAT	2.665
2hs n DAT	2.665
3s m DAT	12.635
3s f DAT	12.59
3s n DAT	12.635
1p m DAT	1.555
1p f DAT	1.55
1p n DAT	1.555
2vp m DAT	1.17
2hp m DAT	1.17
2vp f DAT	1.16
2hp f DAT	1.16
2vp n DAT	1.17
2hp n DAT	1.17
3p m DAT	2.26
3p f DAT	2.25
3p n DAT	2.26
1d m DAT	0.185
1d f DAT	0.19
1d n DAT	0.185
2vd m DAT	0.14
2vd f DAT	0.14
2vd n DAT	0.14
2hd m DAT	0.14
2hd f DAT	0.14
2hd n DAT	0.14
3d m DAT	0.27
3d f DAT	0.27
3d n DAT	0.27
1s m GEN	7.91
1s f GEN	7.89
1s n GEN	7.91
2vs m GEN	2.665
2hs m GEN	2.665
2vs f GEN	2.65
2hs f GEN	2.65
2vs n GEN	2.665
2hs n GEN	2.665
3s m GEN	12.635
3s f GEN	12.59
3s n GEN	12.635
1p m GEN	1.555
1p f GEN	1.55
1p n GEN	1.555
2vp m GEN	1.17
2hp m GEN	1.17
2vp f GEN	1.16
2hp f GEN	1.16
2vp n GEN	1.17
2hp n GEN	1.17
3p m GEN	2.26
3p f GEN	2.25
3p n GEN	2.26
1d m GEN	0.185
1d f GEN	0.19
1d n GEN	0.185
2vd m GEN	0.14
2vd f GEN	0.14
2vd n GEN	0.14
2hd m GEN	0.14
2hd f GEN	0.14
2hd n GEN	0.14
3d m GEN	0.27
3d f GEN	0.27
3d n GEN	0.27
