1s c NOM	23.71
2vs c NOM	5.32
2hs c NOM	5.32
2js c NOM	5.32
3evs c NOM	6.31
3ejs c NOM	6.31
3xvs c NOM	6.31
3xjs c NOM	6.31
3wvs c NOM	6.31
3wjs c NOM	6.31
1p c NOM	5.22
2vp c NOM	2.62
2hp c NOM	2.61
2jp c NOM	2.61
3evp c NOM	1.27
3ejp c NOM	1.27
3xvp c NOM	1.26
3xjp c NOM	1.26
3wvp c NOM	1.26
3wjp c NOM	1.26
1s c OBJ	23.71
2vs c OBJ	5.32
2hs c OBJ	5.32
2js c OBJ	5.32
3evs c OBJ	6.31
3ejs c OBJ	6.31
3xvs c OBJ	6.31
3xjs c OBJ	6.31
3wvs c OBJ	6.31
3wjs c OBJ	6.31
1p c OBJ	5.22
2vp c OBJ	2.62
2hp c OBJ	2.61
2jp c OBJ	2.61
3evp c OBJ	1.27
3ejp c OBJ	1.27
3xvp c OBJ	1.26
3xjp c OBJ	1.26
3wvp c OBJ	1.26
3wjp c OBJ	1.26
1s c GEN	23.71
2vs c GEN	5.32
2hs c GEN	5.32
2js c GEN	5.32
3evs c GEN	6.31
3ejs c GEN	6.31
3xvs c GEN	6.31
3xjs c GEN	6.31
3wvs c GEN	6.31
3wjs c GEN	6.31
1p c GEN	5.22
2vp c GEN	2.62
2hp c GEN	2.61
2jp c GEN	2.61
3evp c GEN	1.27
3ejp c GEN	1.27
3xvp c GEN	1.26
3xjp c GEN	1.26
3wvp c GEN	1.26
3wjp c GEN	1.26
