1s m NOM	15.82
1s f NOM	7.89
2s m NOM	10.65
2s f NOM	5.31
3es m NOM	8.43
3xs m NOM	8.42
3ws m NOM	8.42
3es f NOM	4.20
3xs f NOM	4.20
3ws f NOM	4.19
1p m NOM	3.48
1p f NOM	1.74
2p m NOM	5.23
2p f NOM	2.61
3ep m NOM	1.69
3xp m NOM	1.69
3wp m NOM	1.68
3ep f NOM	0.84
3xp f NOM	0.84
3wp f NOM	0.84
1s m OBL	15.82
1s f OBL	7.89
2s m OBL	10.65
2s f OBL	5.31
3es m OBL	8.43
3xs m OBL	8.42
3ws m OBL	8.42
3es f OBL	4.20
3xs f OBL	4.20
3ws f OBL	4.19
1p m OBL	3.48
1p f OBL	1.74
2p m OBL	5.23
2p f OBL	2.61
3ep m OBL	1.69
3xp m OBL	1.69
3wp m OBL	1.68
3ep f OBL	0.84
3xp f OBL	0.84
3wp f OBL	0.84
1s m GEN	15.82
1s f GEN	7.89
2s m GEN	10.65
2s f GEN	5.31
3es m GEN	8.43
3xs m GEN	8.42
3ws m GEN	8.42
3es f GEN	4.20
3xs f GEN	4.20
3ws f GEN	4.19
1p m GEN	3.48
1p f GEN	1.74
2p m GEN	5.23
2p f GEN	2.61
3ep m GEN	1.69
3xp m GEN	1.69
3wp m GEN	1.68
3ep f GEN	0.84
3xp f GEN	0.84
3wp f GEN	0.84
