1s m NOM	15.82
1s f NOM	7.89
2vs m NOM	3.55
2hs m NOM	3.55
2js m NOM	3.55
2vs f NOM	1.77
2hs f NOM	1.77
2js f NOM	1.77
3es m NOM	8.43
3xs m NOM	8.42
3ws m NOM	8.42
3es f NOM	4.20
3xs f NOM	4.20
3ws f NOM	4.19
1p m NOM	3.48
1p f NOM	1.74
2vp m NOM	1.75
2hp m NOM	1.74
2jp m NOM	1.74
2vp f NOM	0.87
2hp f NOM	0.87
2jp f NOM	0.87
3ep m NOM	1.69
3xp m NOM	1.69
3wp m NOM	1.68
3ep f NOM	0.84
3xp f NOM	0.84
3wp f NOM	0.84
1s m INDIR	15.82
1s f INDIR	7.89
2vs m INDIR	3.55
2hs m INDIR	3.55
2js m INDIR	3.55
2vs f INDIR	1.77
2hs f INDIR	1.77
2js f INDIR	1.77
3es m INDIR	8.43
3xs m INDIR	8.42
3ws m INDIR	8.42
3es f INDIR	4.20
3xs f INDIR	4.20
3ws f INDIR	4.19
1p m INDIR	3.48
1p f INDIR	1.74
2vp m INDIR	1.75
2hp m INDIR	1.74
2jp m INDIR	1.74
2vp f INDIR	0.87
2hp f INDIR	0.87
2jp f INDIR	0.87
3ep m INDIR	1.69
3xp m INDIR	1.69
3wp m INDIR	1.68
3ep f INDIR	0.84
3xp f INDIR	0.84
3wp f INDIR	0.84
1s m ERG	15.82
1s f ERG	7.89
2vs m ERG	3.55
2hs m ERG	3.55
2js m ERG	3.55
2vs f ERG	1.77
2hs f ERG	1.77
2js f ERG	1.77
3es m ERG	8.43
3xs m ERG	8.42
3ws m ERG	8.42
3es f ERG	4.20
3xs f ERG	4.20
3ws f ERG	4.19
1p m ERG	3.48
1p f ERG	1.74
2vp m ERG	1.75
2hp m ERG	1.74
2jp m ERG	1.74
2vp f ERG	0.87
2hp f ERG	0.87
2jp f ERG	0.87
3ep m ERG	1.69
3xp m ERG	1.69
3wp m ERG	1.68
3ep f ERG	0.84
3xp f ERG	0.84
3wp f ERG	0.84
1s m GEN	15.82
1s f GEN	7.89
2vs m GEN	3.55
2hs m GEN	3.55
2js m GEN	3.55
2vs f GEN	1.77
2hs f GEN	1.77
2js f GEN	1.77
3es m GEN	8.43
3xs m GEN	8.42
3ws m GEN	8.42
3es f GEN	4.20
3xs f GEN	4.20
3ws f GEN	4.19
1p m GEN	3.48
1p f GEN	1.74
2vp m GEN	1.75
2hp m GEN	1.74
2jp m GEN	1.74
2vp f GEN	0.87
2hp f GEN	0.87
2jp f GEN	0.87
3ep m GEN	1.69
3xp m GEN	1.69
3wp m GEN	1.68
3ep f GEN	0.84
3xp f GEN	0.84
3wp f GEN	0.84
1s m DAT	15.82
1s f DAT	7.89
2vs m DAT	3.55
2hs m DAT	3.55
2js m DAT	3.55
2vs f DAT	1.77
2hs f DAT	1.77
2js f DAT	1.77
3es m DAT	8.43
3xs m DAT	8.42
3ws m DAT	8.42
3es f DAT	4.20
3xs f DAT	4.20
3ws f DAT	4.19
1p m DAT	3.48
1p f DAT	1.74
2vp m DAT	1.75
2hp m DAT	1.74
2jp m DAT	1.74
2vp f DAT	0.87
2hp f DAT	0.87
2jp f DAT	0.87
3ep m DAT	1.69
3xp m DAT	1.69
3wp m DAT	1.68
3ep f DAT	0.84
3xp f DAT	0.84
3wp f DAT	0.84
