1s c NOM	23.71
2s c NOM	15.96
3s c NOM	37.86
1p c NOM	5.22
2p c NOM	7.84
3p c NOM	7.58
1s c ERG	23.71
2s c ERG	15.96
3s c ERG	37.86
1p c ERG	5.22
2p c ERG	7.84
3p c ERG	7.58
1s c INSTR	23.71
2s c INSTR	15.96
3s c INSTR	37.86
1p c INSTR	5.22
2p c INSTR	7.84
3p c INSTR	7.58
1s c DAT	23.71
2s c DAT	15.96
3s c DAT	37.86
1p c DAT	5.22
2p c DAT	7.84
3p c DAT	7.58
1s c ADV	23.71
2s c ADV	15.96
3s c ADV	37.86
1p c ADV	5.22
2p c ADV	7.84
3p c ADV	7.58
1s c GEN	23.71
2s c GEN	15.96
3s c GEN	37.86
1p c GEN	5.22
2p c GEN	7.84
3p c GEN	7.58
