1s c NOM	23.71
2vs c NOM	7.98
2hs c NOM	7.98
3s c NOM	37.86
1p c NOM	2.61
2vp c NOM	3.92
2hp c NOM	3.92
3p c NOM	7.58
12p c NOM	2.61
1s c AKK	23.71
2vs c AKK	7.98
2hs c AKK	7.98
3s c AKK	37.86
1p c AKK	2.61
2vp c AKK	3.92
2hp c AKK	3.92
3p c AKK	7.58
12p c AKK	2.61
1s c DAT	23.71
2vs c DAT	7.98
2hs c DAT	7.98
3s c DAT	37.86
1p c DAT	2.61
2vp c DAT	3.92
2hp c DAT	3.92
3p c DAT	7.58
12p c DAT	2.61
1s c GEN	23.71
2vs c GEN	7.98
2hs c GEN	7.98
3s c GEN	37.86
1p c GEN	2.61
2vp c GEN	3.92
2hp c GEN	3.92
3p c GEN	7.58
12p c GEN	2.61
1s c ABL	23.71
2vs c ABL	7.98
2hs c ABL	7.98
3s c ABL	37.86
1p c ABL	2.61
2vp c ABL	3.92
2hp c ABL	3.92
3p c ABL	7.58
12p c ABL	2.61
1s c LOC	23.71
2vs c LOC	7.98
2hs c LOC	7.98
3s c LOC	37.86
1p c LOC	2.61
2vp c LOC	3.92
2hp c LOC	3.92
3p c LOC	7.58
12p c LOC	2.61
1s c INSTR	23.71
2vs c INSTR	7.98
2hs c INSTR	7.98
3s c INSTR	37.86
1p c INSTR	2.61
2vp c INSTR	3.92
2hp c INSTR	3.92
3p c INSTR	7.58
12p c INSTR	2.61
1s c COM	23.71
2vs c COM	7.98
2hs c COM	7.98
3s c COM	37.86
1p c COM	2.61
2vp c COM	3.92
2hp c COM	3.92
3p c COM	7.58
12p c COM	2.61
1s c DIR	23.71
2vs c DIR	7.98
2hs c DIR	7.98
3s c DIR	37.86
1p c DIR	2.61
2vp c DIR	3.92
2hp c DIR	3.92
3p c DIR	7.58
12p c DIR	2.61
