1s m NOM	15.82
1s f NOM	7.89
2s m NOM	10.66
2s f NOM	5.3
3s m NOM	18.945
3s f NOM	9.45
rs m NOM	6.315
rs f NOM	3.15
1p m NOM	3.48
1p f NOM	1.74
2p m NOM	5.24
2p f NOM	2.6
3p m NOM	3.795
3p f NOM	1.89
rp m NOM	1.265
rp f NOM	0.63
1s m AKK	15.82
1s f AKK	7.89
2s m AKK	10.66
2s f AKK	5.3
3s m AKK	18.945
3s f AKK	9.45
rs m AKK	6.315
rs f AKK	3.15
1p m AKK	3.48
1p f AKK	1.74
2p m AKK	5.24
2p f AKK	2.6
3p m AKK	3.795
3p f AKK	1.89
rp m AKK	1.265
rp f AKK	0.63
1s m DAT	15.82
1s f DAT	7.89
2s m DAT	10.66
2s f DAT	5.3
3s m DAT	18.945
3s f DAT	9.45
rs m DAT	6.315
rs f DAT	3.15
1p m DAT	3.48
1p f DAT	1.74
2p m DAT	5.24
2p f DAT	2.6
3p m DAT	3.795
3p f DAT	1.89
rp m DAT	1.265
rp f DAT	0.63
