1s m NOM	15.82
1s f NOM	7.89
2vs m NOM	5.33
2vs f NOM	2.65
2hs m NOM	5.33
2hs f NOM	2.65
3s m NOM	18.945
3s f NOM	9.45
rs m NOM	6.315
rs f NOM	3.15
1p m NOM	3.48
1p f NOM	1.74
2vp m NOM	2.62
2vp f NOM	1.3
2hp m NOM	2.62
2hp f NOM	1.3
3p m NOM	3.795
3p f NOM	1.89
rp m NOM	1.265
rp f NOM	0.63
1s m AKK	15.82
1s f AKK	7.89
2vs m AKK	5.33
2vs f AKK	2.65
2hs m AKK	5.33
2hs f AKK	2.65
3s m AKK	18.945
3s f AKK	9.45
rs m AKK	6.315
rs f AKK	3.15
1p m AKK	3.48
1p f AKK	1.74
2vp m AKK	2.62
2vp f AKK	1.3
2hp m AKK	2.62
2hp f AKK	1.3
3p m AKK	3.795
3p f AKK	1.89
rp m AKK	1.265
rp f AKK	0.63
1s m DAT	15.82
1s f DAT	7.89
2vs m DAT	5.33
2vs f DAT	2.65
2hs m DAT	5.33
2hs f DAT	2.65
3s m DAT	18.945
3s f DAT	9.45
rs m DAT	6.315
rs f DAT	3.15
1p m DAT	3.48
1p f DAT	1.74
2vp m DAT	2.62
2vp f DAT	1.3
2hp m DAT	2.62
2hp f DAT	1.3
3p m DAT	3.795
3p f DAT	1.89
rp m DAT	1.265
rp f DAT	0.63
1s m GEN	15.82
1s f GEN	7.89
2vs m GEN	5.33
2vs f GEN	2.65
2hs m GEN	5.33
2hs f GEN	2.65
3s m GEN	18.945
3s f GEN	9.45
rs m GEN	6.315
rs f GEN	3.15
1p m GEN	3.48
1p f GEN	1.74
2vp m GEN	2.62
2vp f GEN	1.3
2hp m GEN	2.62
2hp f GEN	1.3
3p m GEN	3.795
3p f GEN	1.89
rp m GEN	1.265
rp f GEN	0.63
1s m DISJ	15.82
1s f DISJ	7.89
2vs m DISJ	5.33
2vs f DISJ	2.65
2hs m DISJ	5.33
2hs f DISJ	2.65
3s m DISJ	18.945
3s f DISJ	9.45
rs m DISJ	6.315
rs f DISJ	3.15
1p m DISJ	3.48
1p f DISJ	1.74
2vp m DISJ	2.62
2vp f DISJ	1.3
2hp m DISJ	2.62
2hp f DISJ	1.3
3p m DISJ	3.795
3p f DISJ	1.89
rp m DISJ	1.265
rp f DISJ	0.63
1s m CON	15.82
1s f CON	7.89
2vs m CON	5.33
2vs f CON	2.65
2hs m CON	5.33
2hs f CON	2.65
3s m CON	18.945
3s f CON	9.45
rs m CON	6.315
rs f CON	3.15
1p m CON	3.48
1p f CON	1.74
2vp m CON	2.62
2vp f CON	1.3
2hp m CON	2.62
2hp f CON	1.3
3p m CON	3.795
3p f CON	1.89
rp m CON	1.265
rp f CON	0.63
