1s c NOM	23.71
2s c NOM	15.96
3s c NOM	37.86
1p c NOM	2.61
2p c NOM	7.84
3p c NOM	7.58
12p c NOM	2.61
1s c AKK	23.71
2s c AKK	15.96
3s c AKK	37.86
1p c AKK	2.61
2p c AKK	7.84
3p c AKK	7.58
12p c AKK	2.61
1s c GEN	23.71
2s c GEN	15.96
3s c GEN	37.86
1p c GEN	2.61
2p c GEN	7.84
3p c GEN	7.58
12p c GEN	2.61
1s c DAT	23.71
2s c DAT	15.96
3s c DAT	37.86
1p c DAT	2.61
2p c DAT	7.84
3p c DAT	7.58
12p c DAT	2.61
1s c ABL	23.71
2s c ABL	15.96
3s c ABL	37.86
1p c ABL	2.61
2p c ABL	7.84
3p c ABL	7.58
12p c ABL	2.61
