1s c NOM	23.71
2s c NOM	15.96
3s c NOM	37.86
1p c NOM	2.61
2p c NOM	7.84
3p c NOM	7.58
12p c NOM	2.61
1s c AKK	23.71
2s c AKK	15.96
3s c AKK	37.86
1p c AKK	2.61
2p c AKK	7.84
3p c AKK	7.58
12p c AKK	2.61
1s c GEN	23.71
2s c GEN	15.96
3s c GEN	37.86
1p c GEN	2.61
2p c GEN	7.84
3p c GEN	7.58
12p c GEN	2.61
1s c DAT	23.71
2s c DAT	15.96
3s c DAT	37.86
1p c DAT	2.61
2p c DAT	7.84
3p c DAT	7.58
12p c DAT	2.61
1s c ABL	23.71
2s c ABL	15.96
3s c ABL	37.86
1p c ABL	2.61
2p c ABL	7.84
3p c ABL	7.58
12p c ABL	2.61
1s c LOC	23.71
2s c LOC	15.96
3s c LOC	37.86
1p c LOC	2.61
2p c LOC	7.84
3p c LOC	7.58
12p c LOC	2.61
1s c INSTR	23.71
2s c INSTR	15.96
3s c INSTR	37.86
1p c INSTR	2.61
2p c INSTR	7.84
3p c INSTR	7.58
12p c INSTR	2.61
1s c PROL	23.71
2s c PROL	15.96
3s c PROL	37.86
1p c PROL	2.61
2p c PROL	7.84
3p c PROL	7.58
12p c PROL	2.61
1s c DIR	23.71
2s c DIR	15.96
3s c DIR	37.86
1p c DIR	2.61
2p c DIR	7.84
3p c DIR	7.58
12p c DIR	2.61
