1s m G	15.82
1s f G	7.89
2s m G	10.65
2s f G	5.31
3s m G	25.27
3s f G	12.59
1p m G	3.11
1p f G	1.55
2p m G	4.67
2p f G	2.33
3p m G	4.52
3p f G	2.25
1d m G	0.37
1d f G	0.19
2d m G	0.56
2d f G	0.28
3d m G	0.54
3d f G	0.27
1s m V	15.82
1s f V	7.89
2s m V	10.65
2s f V	5.31
3s m V	25.27
3s f V	12.59
1p m V	3.11
1p f V	1.55
2p m V	4.67
2p f V	2.33
3p m V	4.52
3p f V	2.25
1d m V	0.37
1d f V	0.19
2d m V	0.56
2d f V	0.28
3d m V	0.54
3d f V	0.27
1s m S	15.82
2s m S	10.65
3s m S	25.27
1d m S	0.37
2d m S	0.56
3d m S	0.54
1p m S	3.11
2p m S	4.67
3p m S	4.52
1s f S	7.89
2s f S	5.31
3s f S	12.59
1d f S	0.19
2d f S	0.28
3d f S	0.27
1p f S	1.55
2p f S	2.33
3p f S	2.25
1s m C	15.82
2s m C	10.65
3s m C	25.27
1d m C	0.37
2d m C	0.56
3d m C	0.54
1p m C	3.11
2p m C	4.67
3p m C	4.52
1s f C	7.89
2s f C	5.31
3s f C	12.59
1d f C	0.19
2d f C	0.28
3d f C	0.27
1p f C	1.55
2p f C	2.33
3p f C	2.25
