	NOM	AKK	INSTR	DAT	ABL	GEN	LOC
1s	aham	maam	mayaa	mahyam	mat	mama	mayi
2s	tvam	tvaam	tvayaa	tubhyam	tvat	tava	tvayi
3s m	sáḥ	tám	tena	tasmai	tasmaat	tasya	tasmin
3s f	sā́	tā́m	táyā	tásyai	tásyāḥ	tásyāḥ	tasyaam
3s n	tad	tád	tena	tasmai	tasmaat	tasya	tasmin
1p	vayam	asmaan	asmaabhiḥ	asmabhyam	asmat	asmaakam	asmaasu
2p	yuuyam	yuṣmaan	yuṣmaabhiḥ	yuṣmabhyam	yuṣmat	yuṣmaakam	yuṣmaasu
3p m	te	taan	taíḥ	tébhyaḥ	tébhyaḥ	téṣām	téṣu
3p f	tā́ḥ	tā́ḥ	tā́bhiḥ	tā́bhyaḥ	tā́bhyaḥ	tā́sām	taasu
3p n	taani	taani	taíḥ	tébhyaḥ	tébhyaḥ	téṣām	téṣu
1d	aavaam	aavaam	aavaabhyaam	aavaabhyaam	aavaabhyaam	aavayoḥ	aavayoḥ
2d	yuvaam	yuvaam	yuvaabhyaam	yuvaabhyaam	yuvaabhyaam	yuvayoḥ	yuvayoḥ
3d m	tau	tau	taabhyaam	taabhyaam	taabhyaam	táyoḥ	táyoḥ
3d f	te	te	tā́bhyām	tā́bhyām	tā́bhyām	táyoḥ	táyoḥ
3d n	te	te	taabhyaam	taabhyaam	taabhyaam	táyoḥ	táyoḥ
