	NOM	AKK	DAT	GEN	LOC
1s	moi	mwk	mwloi	mwr	mwt			
2vs	toi	twk	twloi	twr	twt
2hs	tumi	twmak	twmaloi	twmar	twmat
2js	apuni	apwnak	apwnaloi	apwnar	apwnat				
3evs m	i	iak	ialoi	iar	iat	
3evs f	ei	eik	eiloi	eir	eit
3evs n	i	iak	ialoi	iar	iat	
3ehs m	i	iak	ialoi	iar	iat	
3ehs f	ei	eik	eiloi	eir	eit
3ehs n	i	iak	ialoi	iar	iat
3xvs m	xi	tak	taloi	tar	tat
3xvs f	tai	taik	tailoi	tair	tait
3xvs n	xi	tak	taloi	tar	tat
3xhs m	xi	tak	taloi	tar	tat
3xhs f	tai	taik	tailoi	tair	tait
3xhs n	xi	tak	taloi	tar	tat
3ejs	ew	ewk	ewloi	ewr	ewt
3xjs	teü	tewk	tewloi	tewr	tewt
1p	ami	amak	amaloi	amar	amat			
2vp 	tohot	tohõtok	tohõtoloi	tohõtor	tohõtot
2hp	twmalwk	twmalwkok	twmalwkoloi	twmalwkor	twmalwkot	
2jp	apwnalwk	apwnalwkok	apwnalwkoloi	apwnalwkor	apwnalwkot
3evp m	ihõt	ihõtok	ihõtoloi	ihõtor	ihõtot
3evp f	ihõt	ihõtok	ihõtoloi	ihõtor	ihõtot
3evp n	eibwr	eibwrok	eibwroloi	eibwror	eibwrot
3ejp m	ewlwk	xihotõk	xihotõloi	xihotõr	xihotõt	
3ejp f	ewlwk	xihotõk	xihotõloi	xihotõr	xihotõt		
3ejp n	eixomuh	eixomuhok	eixomuholoi	eixomuhor	eixomuhot	
3ehp m	ihõt	ihõtok	ihõtoloi	ihõtor	ihõtot
3ehp f	ihõt	ihõtok	ihõtoloi	ihõtor	ihõtot
3ehp n	eibilak	eibilakok	eibilakoloi	eibilakor	eibilakot
3xvp m	xihõt	ewlwkok	ewlwkok	eülwkor	ewlwkot	
3xvp f	xihõt	ewlwkok	ewlwkok	eülwkor	ewlwkot
3xvp n	xeibwr	xeibwrok	xeibwroloi	xeibwror	xeibwrot
3xjp m	tewlwk	tewlwkok	tewlwkoloi	tewlwkor	tewlwkot	
3xjp f	tewlwk	tewlwkok	tewlwkoloi	tewlwkor	tewlwkot	
3xjp n	xeixomuh	xeixomuhok	xeixomuholoi	xeixomuhor	xeixomuhot
3xhp m	xihõt	ewlwkok	ewlwkok	eülwkor	ewlwkot	
3xhp f	xihõt	ewlwkok	ewlwkok	eülwkor	ewlwkot
3xhp n	xeibilak	xeibilakok	xeibilakoleo	xeibilakor	xeibilakot
