	NOM	AKK	DAT	GEN	DISJ	CON
1s	yo	me	me	mío	mí	migo
2vs	vos	te	te	tuyo	ti	tigo	
2hs m	usted	lo	le	suyo	usted	sigo
2hs f	usted	la	le	suyo	usted	sigo
3s m	él	lo	le	suyo	él	sigo
3s f	ella	la	le	suyo	ella	sigo
rs	-	se	se	suyo	sí	sigo
1p m	nosotros	nos	nos	nuestro	nosotros	nosotros
1p f	nosotras	nos	nos	nuestro	nosotras	nosotras
2vp m	vosotros	os	os	vuestro	vosotros	vosotros
2vp f	vosotras	os	os	vuestro	vosotras	vosotras
2hp m	ustedes	los	les	suyo	ustedes	sigo
2hp f	ustedes	las	les	suyo	ustedes	sigo
3p m	ustedes	los	les	suyo	ustedes	sigo
3p f	ustedes	las	les	suyo	ustedes	sigo
rp	-	se	se	suyo	sí	sigo
