	NOM	AKK	DAT	GEN	INSTR	LOC
1s	azŭ	mę	mĭně	mene	mŭnojǫ	mĭně
2s	ty	tę	tebě	tebe	tobojǫ	tebě
3s m	i	i	emu	ego	imĭ	jemĭ
3s f	ja	jǫ	jei	jeję	jejǫ	jei
3s n	je	je	emu	ego	imĭ	jemĭ
rs	-	sę	sebě	sebe	sobojǫ	sebě
1p	my	ny	namŭ	nasŭ	nami	nasŭ
2p	vy	vy	vamŭ	vasŭ	vami	vasŭ
3p m	i	ję	imŭ	ixŭ	imi	ixŭ
3p f	ję	ję	imŭ	ixŭ	imi	ixŭ
3p n	ja	ja	imŭ	ixŭ	imi	ixŭ
rp	-	sę	sebě	sebe	sobojǫ	sebě
1d	vě	na	nama	naju	nama	naju
2d	va	va	vama	vaju	vama	vaju
3d m	ja	ja	ima	jeju	ima	jeju		
3d f	i	i	ima	jeju	ima	jeju
3d n	i	i	ima	jeju	ima	jeju
rd	-	sę	sebě	sebe	sobojǫ	sebě
