	NOM	AKK	DAT	GEN	INSTR	LOC	GEN-s	DAT-s	AKK-s
1s	já	mne	mně	můj	mnou	mně	mě	mi	mě
2s	ty	tebe	tobě	tebe	tebou	tobě	tě	ti	tě
3s v	on	jeho	jemu	jeho	jím	něm	ho	mu	ho
3s i	on	jej	jemu	jej	jím	něm	ho	mu	jej
3s f	ona	ji	jí	jí	jí	ní	jí	jí	ji
3s n	ono	je	jemu	jeho	jím	něm	ho	mu	je
rs	-	sebe	sobě	sebe	sebou	sobě	sebe	si	se
1p	my	nás	nám	nás	námi	nás	nás	nám	nás
2p	vy	vás	vám	vás	vámi	vás	vás	vám	vás
3p v	oni	je	jim	jich	jími	nich	jich	jim	je
3p i	ony	je	jim	jich	jími	nich	jich	jim	je
3p f	ony	je	jim	jich	jími	nich	jich	jim	je
3p n	ona	je	jim	jich	jími	nich	jich	jim	je
