	NOM	AKK	DAT	GEN	INSTR	PREP	GEN-s	DAT-s	AKK-s
1s	ja	mene	meni	mene	mnom	meni	me	mi	me
2s	ti	tebe	tebi	tebe	tobom	tebi	te	ti	te
3s m	on	njega	njemu	njega	njim	njemu	ga	mu	nj
3s f	ona	nju	njoj	nje	njom	njoj	je	joj	ju
3s n	ono	njega	njemu	njega	njim	njemu	ga	mu	nj
rs	-	sebe	sebi	sebe	sobom	sebi	se	si	se
1p	mi	nas	nama	nas	nama	nama	nas	nam	nas
2p	vi	vas	vama	vas	vama	vama	vas	vam	vas
3p m	oni	njih	njima	njih	njima	njima	ih	im	ih
3p f	one	njih	njima	njih	njima	njima	ih	im	ih
3p n	ona	njih	njima	njih	njima	njima	ih	im	ih
