	NOM	AKK	DAT	GEN	INSTR	LOC	GEN-s	DAT-s	AKK-s
1s	ja	mnjo	mnjo	mnjo	mnu	mnjo	mě	mě	mě
2s	ty	tebje	tebje	tebje	tobu	tebje	śi	śi	śi
3s v	wón	jogo	njomu	njogo	nim	njom	jogo	jomu	jogo
3s i	wón	njen	njomu	njogo	nim	njom	jogo	jomu	jen
3s f	wóna	nju	njej	njeje	njeju	njej	jeje	jej	ju
3s n	wóno	njo	njomu	njogo	nim	njom	jogo	jomu	jo
rs	-	sebje	sebje	sebje	sobu	sebje	se	se	se
1p	my	nas	nam	nas	nami	nas	nas	nam	nas
2p	wy	was	wam	was	wami	was	was	wam	was
3p v	wóni	nich	nim	nich	nimi	nich	jich	jim	jich
3p i	wóni	nje	nim	nich	nimi	nich	jich	jim	je
1d	mej	naju	nama	naju	nama	nama	naju	nama	naju
2d	tej	waju	wama	waju	wama	wama	waju	wama	waju
3d v	wónej	njeju	nima	njeju	nima	nima	jeju	jima	jeju
3d i	wónej	njej	nima	njeju	nima	nima	jeju	jima	jej
