1s	ʔa-12u3	1a23-aaku	ʔa-1a22a3	ʔa-1ta2a3
2s m	ta-12u3	1a23-aata	ta-1a22a3	ta-1ta2a3
2s f	ta-12u3-ii	1a23-aati	ta-1a22a3-ii	ta-1ta23-ii
3s m	yi-12u3	1a2i3	yi-1a22a3	yi-1ta2a3
3s f	ta-12u3	1a23-at	ta-1a22a3	ta-1ta2a3
1p	ni-12u3	1a23-aanu	ni-1a22a3	ni-1ta2a3
2p m	ta-12u3-aa	1a23-aatunu	ta-1a22a3-aa	ta-1ta23-aa
2p f	ta-12u3-aa	1a23-aatina	ta-1a22a3-aa	ta-1ta23-aa
3p m	yi-12u3-uu	1a23-uu	yi-1a22a3-uu	yi-1ta23-uu
3p f	yi-12u3-uu	1a23-aa	yi-1a22a3-uu	yi-1ta23-uu
1d	ni-12u3	1a23-aanu	ni-1a22a3	ni-1ta2a3
2d m	ta-12u3-aa	1a23-aatunu	ta-1a22a3-aa	ta-1ta23-aa
2d f	ta-12u3-aa	1a23-aatina	ta-1a22a3-aa	ta-1ta23-aa
3d m	yi-12u3-aa	1a23-aa	yi-1a22a3-aa	yi-1ta23-aa
3d f	yi-12u3-aa	1a23-taa	yi-1a22a3-aa	yi-1ta23-aa
