1s	ʔɨ-1œ22i3	1œ2œ3-ko	ʔɨ-12œ3
2s m	tɨ-1œ22i3	1œ2œ3-kœ	tɨ-12œ3
2s f	tɨ-1œ23-i	1œ2œ3-ki	tɨ-12œ3-i
3s m	lɨ-1œ22i3	1œ23-œ	lɨ-12œ3
3s f	tɨ-1œ22i3	1œ23-œt	tɨ-12œ3
1p	ʔɨn-1œ22i3	1œ2œ3-nœ	nɨ-12œ3
2p m	tɨ-1œ23-o	1œ2œ3-kum	tɨ-12œ3-o
2p f	tɨ-1œ23-œœ	1œ2œ3-kɨn	tɨ-12œ3-œœ
3p m	lɨ-1œ23-o	1œ23-œw	lɨ-12œ3-o
3p f	lɨ-1œ23-œœ	1œ23-œjœœ	lɨ-12œ3-œœ
1d	ʔɨn-1œ22i3	1œ2œ3-nœ	nɨ-12œ3
2d m	tɨ-1œ23-o	1œ2œ3-kum	tɨ-12œ3-o
2d f	tɨ-1œ23-œœ	1œ2œ3-kɨn	tɨ-12œ3-œœ
3d m	lɨ-1œ23-o	1œ23-œw	lɨ-12œ3-o
3d f	lɨ-1œ23-œœ	1œ23-œjœœ	lɨ-12œ3-œœ
