1s	ʔa-1a22a3	1a2a3-ku	ʔa-12u3
2s m	ta-1a22a3	1a2a3-ka	ta-12u3
2s f	ta-1a22a3-ii	1a2a3-ki	ta-12u3-ii
3s m	ya-1a22a3	1a2a3	ya-12u3
3s f	ta-1a22a3	1a2a3-at	ta-12u3
1p	na-1a22a3	1a2a3-na	na-12u3
2p m	ta-1a22a3-uu	1a2a3-kanu	ta-12u3-uu
2p f	ta-1a22a3-aa	1a2a3-kina	ta-12u3-aa
3p m	ya-1a22a3-uu	1a2a3-uu	ya-12u3-uu
3p f	ya-1a22a3-aa	1a2a3-aa	ya-12u3-aa
1d	ʔa-1a22a3-aa	1a2a3-kaaya	ʔa-12u3-aa
2d m	ta-1a22a3-aa	1a2a3-kaa	ta-12u3-aa
2d f	ta-1a22a3-aa	1a2a3-kaa	ta-12u3-aa
3d m	ya-1a22a3-aa	1a2a3-aa	ya-12u3-aa
3d f	ta-1a22a3-aa	1a2a3-ataa	ta-12u3-aa
