1s	ʔi-1a22a3	1a2a3-ku	ʔi-12a3
2s m	ti-1a22a3	1a2a3-ta	ti-12a3
2s f	ti-1a22a3-ii	1a2a3-ti	ti-12a3-ii
3s m	yi-1a22a3	1a2a3	yi-12a3
3s f	ti-1a22a3	1a2a3-at	ti-12a3
1p	ni-1a22a3	1a2a3-na	ni-12a3
2p m	ti-1a22a3-uu	1a2a3-tanu	ti-12a3-uu
2p f	ti-1a22a3-na	1a2a3-tina	ti-12a3-na
3p m	yi-1a22a3-uu	1a2a3-uu	yi-12a3-uu
3p f	yi-1a22a3-na	1a2a3-aa	yi-12a3-na
1d	ʔi-1a22a3-aa	1a2a3-naaya	ʔi-12a3-aa
2d m	ti-1a22a3-aa	1a2a3-tanaa	ti-12a3-aa
2d f	ti-1a22a3-aa	1a2a3-tanaa	ti-12a3-aa
3d m	yi-1a22a3-aa	1a2a3-aa	yi-12a3-aa
3d f	ti-1a22a3-aa	1a2a3-ataa	ti-12a3-aa
